Код группы;Группа;ЭталоннаяПозицияКод;ЭталоннаяПозиция;Код;Номенклатура;ТипПозиции;ПометкаУдаления
;;32823;Водонагреватель THERMEX;271508;Водонагреватель  THERMEX;Дублирующая позиция;Да
253123;Неликвиды;56188;Барабан тормозной 138.10-3341-021;253195;Барабан тормозной 138.10-3341-021;Дублирующая позиция;Да
44518;!SAP-ZAPC;238252;Шпилька передней ступицы 20/1,5;237585;Шпилька передней ступицы 20/1,5;Дублирующая позиция;Да
44518;!SAP-ZAPC;45199;Опора двигателя616 240 00 17;45255;Подушка двигателя 616 240 00 17 (6-2);Дублирующая позиция;Да
44518;!SAP-ZAPC;99517;Крестовина рулевого кардана МАЗ;46632;Крестовина рул.кардана 6430-3444063 МАЗ;Дублирующая позиция;Да
44518;!SAP-ZAPC;91979;Втулка шкворня кулака (сталь) ЛИАЗ;47745;ВТУЛКА 5256-3001027;Дублирующая позиция;Да
44518;!SAP-ZAPC;99517;Крестовина рулевого кардана МАЗ;47855;КРЕСТОВИНА КАРДАНА РУЛЯ 6430-3444063;Дублирующая позиция;Да
44518;!SAP-ZAPC;98548;Указатель поворота передний;48285;Указатель поворота УП-115-3726010-В;Дублирующая позиция;Да
44518;!SAP-ZAPC;83564;Подшипник конический МАЗ;48735;Подшипник 2007109;Дублирующая позиция;Да
44518;!SAP-ZAPC;91979;Втулка шкворня кулака (сталь) ЛИАЗ;49572;Втул.распор.стал.шквор.5256-3001027 ЛиАЗ;Дублирующая позиция;Да
44518;!SAP-ZAPC;83575;Фара головная;55106;"Фара 341,3711 ""Маз""";Дублирующая позиция;Да
44518;!SAP-ZAPC;83575;Фара головная;59665;Фара 341.3711.Бел;Дублирующая позиция;Да
44518;!SAP-ZAPC;237395;Датчик 19.3722 1А температура 103 С;62482;Датчик отопителя 19,3722;Дублирующая позиция;Да
44518;!SAP-ZAPC;97009;Фонарь задний в сборе;64382;Фонарь задний в сб. 7462.3716.000-06 МАЗ;Дублирующая позиция;Да
44518;!SAP-ZAPC;48574;Подшипник конический;64497;Подшипник 208, 180208,7208;Дублирующая позиция;Да
44518;!SAP-ZAPC;85647;Вал карданный рулевой МАЗ;65860;Вал кард.рулев.(нижний) 103-3444062 МАЗ;Дублирующая позиция;Да
44518;!SAP-ZAPC;91979;Втулка шкворня кулака (сталь) ЛИАЗ;66853;ВТУЛКА ПОВ.КУЛ.5256-3001027;Дублирующая позиция;Да
44518;!SAP-ZAPC;91940;Втулка реактивной штанги (металлическая) ЛИАЗ;66863;Втул.реакт.штанги(мет.)5256-2919034 ЛиАЗ;Дублирующая позиция;Да
44518;!SAP-ZAPC;83575;Фара головная;69555;Фара головная 341.3711 МАЗ-103,107;Дублирующая позиция;Да
44518;!SAP-ZAPC;90617;Щетка стеклоочистителя ТУ 37.453.061-83;69571;Щетка стеклоочис.(70см)3706-5205900 ЛиАЗ;Дублирующая позиция;Да
44518;!SAP-ZAPC;95001;Болт;70674;Болт  54321-3104050 МАЗ;Дублирующая позиция;Да
44518;!SAP-ZAPC;88134;Рычаг регулировочный;70725;Рычаг тор.мел.щлиц,пр.103-3501136-10 МАЗ;Дублирующая позиция;Да
